1521553499	0	40	2	41	833
1521553506	0	40	2	55	833
1521553513	0	40	2	47	831
1521553520	0	40	3	59	831
1521553527	0	40	3	61	831
1521553534	0	40	3	57	830
1521553541	0	40	3	57	830
1521553548	0	40	3	43	831
1521553555	0	40	3	51	830
1521553562	0	40	3	61	831
1521553569	0	40	3	41	830
1521553576	0	40	3	61	829
1521553583	0	40	3	57	830
1521553590	0	40	3	57	830
1521553597	0	40	3	49	830
1521553611	0	40	3	59	829
1521553940	0	40	5	59	885
1521553947	0	40	5	61	884
1521553954	0	40	5	59	885
1521553961	0	40	5	63	885
1521553968	0	40	5	59	885
1521553975	0	40	5	63	885
1521553982	0	40	5	59	885
1521553989	0	40	5	59	885
1521554059	0	40	5	63	884
1521554066	0	40	5	32	883
1521554073	0	40	5	63	883
1521554087	0	40	5	32	884
1521554094	0	40	5	34	884
1521554101	0	40	5	34	884
1521554108	0	40	5	33	883
1521554115	0	40	5	33	883
1521554122	0	40	5	32	883
1521554129	0	40	5	33	882
1521554136	0	40	5	32	882
1521554143	0	40	5	32	882
1521554150	0	40	5	32	882
1521554157	0	40	5	32	882
1521554164	0	40	5	33	881
1521554171	0	40	5	34	881
1521554241	0	40	5	33	879
1521554248	0	40	5	33	879
1521554255	0	40	5	33	879
1521554262	0	40	5	34	879
1521554269	0	40	5	35	879
1521554276	0	40	5	33	879
1521554283	0	40	5	33	879
1521554290	0	40	5	33	879
1521554297	0	40	5	34	879
1521554304	0	40	5	33	878
1521554318	0	40	5	33	879
1521554325	0	40	5	33	879
1521554332	0	40	5	34	879
1521554339	0	40	5	33	879
1521554346	0	40	5	34	878
1521554353	0	40	5	33	878
1521554416	0	40	5	33	877
1521554423	0	40	5	33	877
1521554430	0	40	5	32	877
1521554437	0	40	5	33	877
1521554444	0	40	5	34	877
1521554451	0	40	5	33	877
1521554458	0	40	5	34	877
1521554465	0	40	5	34	877
1521554472	0	40	5	34	876
1521554479	0	40	5	33	876
1521554486	0	40	5	34	875
